Date,Park,Park Label,Park Type,State,State Label,Year,Non-Recreation Visitors,Recreation Visitors,记录数
1934/1/1,Antietam,,National Battlefield,Maryland,,1934,,35973,1
1935/1/1,Antietam,,National Battlefield,Maryland,,1935,,36789,1
1936/1/1,Antietam,,National Battlefield,Maryland,,1936,,26705,1
1937/1/1,Antietam,,National Battlefield,Maryland,,1937,,88949,1
1938/1/1,Antietam,,National Battlefield,Maryland,,1938,,30927,1
1939/1/1,Antietam,,National Battlefield,Maryland,,1939,,42601,1
1940/1/1,Antietam,,National Battlefield,Maryland,,1940,,20496,1
1941/1/1,Antietam,,National Battlefield,Maryland,,1941,,33329,1
1942/1/1,Antietam,,National Battlefield,Maryland,,1942,,9539,1
1943/1/1,Antietam,,National Battlefield,Maryland,,1943,,8174,1
1944/1/1,Antietam,,National Battlefield,Maryland,,1944,,16258,1
1945/1/1,Antietam,,National Battlefield,Maryland,,1945,,19875,1
1946/1/1,Antietam,,National Battlefield,Maryland,,1946,,26545,1
1947/1/1,Antietam,,National Battlefield,Maryland,,1947,,35904,1
1948/1/1,Antietam,,National Battlefield,Maryland,,1948,,31931,1
1949/1/1,Antietam,,National Battlefield,Maryland,,1949,,34603,1
1950/1/1,Antietam,,National Battlefield,Maryland,,1950,,39229,1
1951/1/1,Antietam,,National Battlefield,Maryland,,1951,,43607,1
1952/1/1,Antietam,,National Battlefield,Maryland,,1952,,57545,1
1953/1/1,Antietam,,National Battlefield,Maryland,,1953,,71984,1
1954/1/1,Antietam,,National Battlefield,Maryland,,1954,,106900,1
1955/1/1,Antietam,,National Battlefield,Maryland,,1955,,114700,1
1956/1/1,Antietam,,National Battlefield,Maryland,,1956,,105900,1
1957/1/1,Antietam,,National Battlefield,Maryland,,1957,,125100,1
1958/1/1,Antietam,,National Battlefield,Maryland,,1958,,116600,1
1959/1/1,Antietam,,National Battlefield,Maryland,,1959,,151300,1
1960/1/1,Antietam,,National Battlefield,Maryland,,1960,,140900,1
1961/1/1,Antietam,,National Battlefield,Maryland,,1961,,125400,1
1962/1/1,Antietam,,National Battlefield,Maryland,,1962,,176000,1
1963/1/1,Antietam,,National Battlefield,Maryland,,1963,,103300,1
1964/1/1,Antietam,,National Battlefield,Maryland,,1964,,101300,1
1965/1/1,Antietam,,National Battlefield,Maryland,,1965,,140400,1
1966/1/1,Antietam,,National Battlefield,Maryland,,1966,,147700,1
1967/1/1,Antietam,,National Battlefield,Maryland,,1967,,229000,1
1968/1/1,Antietam,,National Battlefield,Maryland,,1968,,405400,1
1969/1/1,Antietam,,National Battlefield,Maryland,,1969,,298600,1
1970/1/1,Antietam,,National Battlefield,Maryland,,1970,,256800,1
1971/1/1,Antietam,,National Battlefield,Maryland,,1971,,345500,1
1972/1/1,Antietam,,National Battlefield,Maryland,,1972,,475674,1
1973/1/1,Antietam,,National Battlefield,Maryland,,1973,,458200,1
1974/1/1,Antietam,,National Battlefield,Maryland,,1974,,476600,1
1975/1/1,Antietam,,National Battlefield,Maryland,,1975,,542800,1
1976/1/1,Antietam,,National Battlefield,Maryland,,1976,,658000,1
1977/1/1,Antietam,,National Battlefield,Maryland,,1977,,524400,1
1978/1/1,Antietam,,National Battlefield,Maryland,,1978,,504402,1
1979/1/1,Antietam,,National Battlefield,Maryland,,1979,0,319610,1
1980/1/1,Antietam,,National Battlefield,Maryland,,1980,0,352780,1
1981/1/1,Antietam,,National Battlefield,Maryland,,1981,0,468078,1
1982/1/1,Antietam,,National Battlefield,Maryland,Maryland,1982,0,410399,1
1983/1/1,Antietam,,National Battlefield,Maryland,,1983,0,433122,1
1984/1/1,Antietam,,National Battlefield,Maryland,,1984,0,528369,1
1985/1/1,Antietam,,National Battlefield,Maryland,,1985,0,585190,1
1986/1/1,Antietam,,National Battlefield,Maryland,,1986,0,706720,1
1987/1/1,Antietam,,National Battlefield,Maryland,,1987,0,610674,1
1988/1/1,Antietam,,National Battlefield,Maryland,,1988,0,135117,1
1989/1/1,Antietam,,National Battlefield,Maryland,,1989,0,147007,1
1990/1/1,Antietam,,National Battlefield,Maryland,,1990,0,217249,1
1991/1/1,Antietam,,National Battlefield,Maryland,,1991,0,263110,1
1991/1/1,Monocacy,,National Battlefield,Maryland,,1991,0,0,1
1992/1/1,Antietam,Antietam,National Battlefield,Maryland,,1992,0,243707,1
1992/1/1,Monocacy,Monocacy,National Battlefield,Maryland,,1992,0,9560,1
1993/1/1,Antietam,,National Battlefield,Maryland,,1993,0,181909,1
1993/1/1,Monocacy,,National Battlefield,Maryland,,1993,0,8251,1
1994/1/1,Antietam,,National Battlefield,Maryland,,1994,0,237821,1
1994/1/1,Monocacy,,National Battlefield,Maryland,,1994,0,11661,1
1995/1/1,Antietam,,National Battlefield,Maryland,,1995,0,215914,1
1995/1/1,Monocacy,,National Battlefield,Maryland,,1995,0,21165,1
1996/1/1,Antietam,,National Battlefield,Maryland,,1996,0,246082,1
1996/1/1,Monocacy,,National Battlefield,Maryland,,1996,0,11312,1
1997/1/1,Antietam,,National Battlefield,Maryland,,1997,0,275639,1
1997/1/1,Monocacy,,National Battlefield,Maryland,,1997,0,11804,1
1998/1/1,Antietam,,National Battlefield,Maryland,,1998,0,275385,1
1998/1/1,Monocacy,,National Battlefield,Maryland,,1998,0,15563,1
1999/1/1,Antietam,,National Battlefield,Maryland,,1999,0,268897,1
1999/1/1,Monocacy,,National Battlefield,Maryland,,1999,0,14834,1
2000/1/1,Antietam,,National Battlefield,Maryland,,2000,0,286896,1
2000/1/1,Monocacy,,National Battlefield,Maryland,,2000,0,18198,1
2001/1/1,Antietam,,National Battlefield,Maryland,,2001,0,303599,1
2001/1/1,Monocacy,,National Battlefield,Maryland,,2001,0,18095,1
2002/1/1,Antietam,,National Battlefield,Maryland,,2002,0,303209,1
2002/1/1,Monocacy,,National Battlefield,Maryland,,2002,0,15592,1
2003/1/1,Antietam,,National Battlefield,Maryland,,2003,0,279694,1
2003/1/1,Monocacy,,National Battlefield,Maryland,,2003,0,14566,1
